image_name,captions,top_captions,Generated
1.jpg,"['একটি পার্কে একটি লেক আছে ।', 'লেকের উপর একটি ব্রীজ আছে ।', 'গাছপালায় ঘেরা এই পার্কটি খুবই মনমুগ্ধকর ।', 'লেকের উপর একটি ব্রীজ আছে ।', 'পানির উপর আকাশের প্রতিচ্ছবি দেখা যাচ্ছে ।']","গাছপালায় ঘেরা এই পার্কটি খুবই মনমুগ্ধকর ।,
 একটি পার্কে একটি লেক আছে ।,
 পানির উপর আকাশের প্রতিচ্ছবি দেখা যাচ্ছে ।",
2.jpg,"['একজন মানুষ মাথায় খড় নিয়ে হেটে যাচ্ছে ।', ""একজন মানুষ ও দু'টি খড়ের স্তূপ দেখা যাচ্ছে ।"", 'লুঙ্গি পড়া একজন মানুষ খড়ের উপর হেটে যাচ্ছে ।', 'দুটি খড়ের স্তূপের পেছনে অনেক গাছপালা আছে ।', 'অনেক গাছপালার সামনে দুটি খড়ের স্তূপ আছে ।']","লুঙ্গি পড়া একজন মানুষ খড়ের উপর হেটে যাচ্ছে ।,
 একজন মানুষ মাথায় খড় নিয়ে হেটে যাচ্ছে ।,
 একজন মানুষ ও দু'টি খড়ের স্তূপ দেখা যাচ্ছে ।","Q# ছবিতে মানুষটি কি পরে আছে?  
A# লুঙ্গি"
3.jpg,"['টেবিলের উপর একটি চশমা আছে ।', 'টেবিলের উপর একটি পানির গ্লাস ও একটি চশমা আছে ।', 'একটি রুমে একটি খাট ও দুটি জানালা আছে  আছে ।', 'টেবিলের উপর একটি গ্লাস ঢাকনা দিয়ে ঢেকে রাখা আছে এবং পাশে একটি চশমা আছে ।', 'একটি রুমে একটি খাট এবং একটি টেবিল আছে,টেবিলের উপর পানির গ্লাস ও চশমা আছে ।']","একটি রুমে একটি খাট এবং একটি টেবিল আছে,টেবিলের উপর পানির গ্লাস ও চশমা আছে ।,
 টেবিলের উপর একটি চশমা আছে ।,
 টেবিলের উপর একটি পানির গ্লাস ও একটি চশমা আছে ।","Q# ছবিতে টেবিলের উপর কি কি জিনিস আছে?
A# গ্লাস, চশমা"
4.jpg,"['একটি শিশু দেখা যাচ্ছে ।', 'একটি শিশু গ্রামের ছোট একটি গলি দিয়ে হাটছে ।', 'একটি শিশু নগ্ন অবস্থায় হাটছে ।', 'একটি শিশু খালি পায়ে হাটছে ।', 'একটি শিশু হাটার সময় তার কিছুটা ছায়া দেখা যাচ্ছে ।']","একটি শিশু হাটার সময় তার কিছুটা ছায়া দেখা যাচ্ছে ।,
 একটি শিশু দেখা যাচ্ছে ।,
 একটি শিশু নগ্ন অবস্থায় হাটছে ।","Q# ছবিতে শিশুটি কীভাবে হাটছে?
A# নগ্ন অবস্থায়"
5.jpg,"['একটি চায়ের কাপ দেখা যাচ্ছে ।', 'চায়ের কাপে উপর থেকে আলো পড়ছে ।', 'আলোর কারনে চায়ের কাপের ছায়া দেখা যাচ্ছে ।', 'একটি খালি চায়ের কাপে আলো পড়ছে ।', 'একটি খালি চায়ের কাপ দেখা যাচ্ছে ।']","আলোর কারনে চায়ের কাপের ছায়া দেখা যাচ্ছে ।,
 একটি চায়ের কাপ দেখা যাচ্ছে ।,
 একটি খালি চায়ের কাপ দেখা যাচ্ছে ।","Q# ছবিতে কী ধরনের কাপ দেখা যাচ্ছে?  
A# চায়ের কাপ"
6.jpg,"['তিনটি শিশু দেখা যাচ্ছে ।', 'একটি ধানের ক্ষেত দেখা যাচ্ছে ।', 'ধানের ক্ষেতের পিছনে অনেক গাছপালা দেখা যাচ্ছে ।', 'একটি ধানের ক্ষেত ও তিনটি শিশু দেখা যাচ্ছে ।', 'তিনটি শিশু খালি গায়ে ধানের ক্ষেতে খেলছে ।']","ধানের ক্ষেতের পিছনে অনেক গাছপালা দেখা যাচ্ছে ।,
 তিনটি শিশু দেখা যাচ্ছে ।,
 একটি ধানের ক্ষেত ও তিনটি শিশু দেখা যাচ্ছে ।","Q# ছবিতে কতজন শিশু দেখা যাচ্ছে?  
A# তিনটি"
7.jpg,"['একটি লোক নৌকার উপর দাড়িয়ে আছে ।', 'একটি লোক কাস্তে হাতে নিয়ে দাড়িয়ে আছে ।', 'দুটি নৌকা লেকের পাশে বাধা আছে ।', 'লেকে দুটি নৌকা আছে একটির উপর একজন লোক দাড়িয়ে আছে ।', 'একটি লোক দেখা যাচ্ছে এবং লেকের আশেপাশে অনেকগুলো গাছপালা আছে ।']","একটি লোক দেখা যাচ্ছে এবং লেকের আশেপাশে অনেকগুলো গাছপালা আছে ।,
 দুটি নৌকা লেকের পাশে বাধা আছে ।,
 একটি লোক নৌকার উপর দাড়িয়ে আছে ।","Q# ছবিতে লোকটি কোথায় দাঁড়িয়ে আছে?  
A# নৌকার উপর  
"
8.jpg,"['একটি পার্ক দেখা যাচ্ছে ।', 'একটি পার্কে একজন শিশু ও লোক বসে আছে ।', 'একটি শিশু ছাতা মাথায় নিয়ে পার্কে বসে আছে ।', 'একটি পার্কে অনেকগুলো গাছপালা আছে ।', 'একটি শিশু ছাতা মাথায় নিয়ে এবং একজন লোক মাথায় হাত দিয়ে পার্কে বসে আছে ।']","একটি শিশু ছাতা মাথায় নিয়ে এবং একজন লোক মাথায় হাত দিয়ে পার্কে বসে আছে ।,
 একটি পার্ক দেখা যাচ্ছে ।,
 একটি পার্কে একজন শিশু ও লোক বসে আছে ।","Q# ছবিতে শিশুটি কি ধরনের ছাতা ধরে আছে?
A# রঙিন ছাতা"
9.jpg,"['৮ জন শিশু দেখা যাচ্ছে ।', '৮ জন শিশুকে হাসতে দেখা যাচ্ছে ।', '৮ জন শিশু দেখা যাচ্ছে,একজনের গায়ে কাপড় আছে এবং ৭ জন খালি গায়ে ।', 'কিছু শিশুকে ভেজা শরীরে দেখা যাচ্ছে ।', '৭ জন শিশু খালি গায়ে দেখা যাচ্ছে এবং একজনের গায়ে কাপড় দেখা যাচ্ছে ।']","৭ জন শিশু খালি গায়ে দেখা যাচ্ছে এবং একজনের গায়ে কাপড় দেখা যাচ্ছে ।,
 ৮ জন শিশু দেখা যাচ্ছে ।,
 ৮ জন শিশুকে হাসতে দেখা যাচ্ছে ।","Q# ""ছবিতে মোট কতজন শিশু দেখা যাচ্ছে?"", A# ""৮ জন"""
10.jpg,"['একটি লোহার জালি দেখা যাচ্ছে ।', 'একটি জালির পেছনে একটি দালান দেখা যাচ্ছে ।', 'একটি জালির পেছনে একটি রিক্সা এবং একটি গাড়ি দেখা যাচ্ছে ।', 'একটি জালির পেছনে একটি রিক্সা এবং একটি দালান দেখা যাচ্ছে ।', 'রাস্তায় গাড়ি এবং রিক্সা দেখা যাচ্ছে ।']","একটি জালির পেছনে একটি রিক্সা এবং একটি গাড়ি দেখা যাচ্ছে ।,
 একটি লোহার জালি দেখা যাচ্ছে ।,
 একটি জালির পেছনে একটি দালান দেখা যাচ্ছে ।","Q# জালির পেছনে কোন পরিবহন মাধ্যমটি দেখা যাচ্ছে?  
A# রিক্সা"
